header,sg:journal.1136220,sg:journal.1136216,sg:journal.1297335,sg:journal.1052061,sg:journal.1136368,sg:journal.1081642,sg:journal.1047617,sg:journal.1026076,sg:journal.1136023,sg:journal.1023786,sg:journal.1136189,sg:journal.1327584,sg:journal.1045337,sg:journal.1048022,sg:journal.1136180,sg:journal.1136530,sg:journal.1136516,sg:journal.1136738,sg:journal.1136753,sg:journal.1136282,sg:journal.1042645,sg:journal.1052116,sg:journal.1136210,sg:journal.1136690,sg:journal.1136197,sg:journal.1136759,sg:journal.1049395,sg:journal.1136683,sg:journal.1279251,sg:journal.1047852,sg:journal.1052482,sg:journal.1136515,sg:journal.1136436,sg:journal.1136035,sg:journal.1040905,sg:journal.1136094,sg:journal.1136504,sg:journal.1300493,sg:journal.1136369,sg:journal.1136551,sg:journal.1136856,sg:journal.1136057,sg:journal.1136479,sg:journal.1136350,sg:journal.1044187,sg:journal.1053636,sg:journal.1134502,sg:journal.1040979,sg:journal.1136480,sg:journal.1136855,sg:journal.1135933,sg:journal.1040372,sg:journal.1126163,sg:journal.1136844,sg:journal.1136293,sg:journal.1136500,sg:journal.1052645,sg:journal.1041815,sg:journal.1045921,sg:journal.1136443,sg:journal.1136382,sg:journal.1046692,sg:journal.1043284,sg:journal.1136594,sg:journal.1120592,sg:journal.1136071,sg:journal.1320093,sg:journal.1143358,sg:journal.1136104,sg:journal.1135919,sg:journal.1136470,sg:journal.1136558,sg:journal.1136385,sg:journal.1136582,sg:journal.1136755,sg:journal.1136398,sg:journal.1135936,sg:journal.1135886,sg:journal.1046615,sg:journal.1052643,sg:journal.1136868,sg:journal.1136491,sg:journal.1135887,sg:journal.1136660,sg:journal.1052098,sg:journal.1136684,sg:journal.1050312,sg:journal.1138437,sg:journal.1284620,sg:journal.1051077,sg:journal.1295198,sg:journal.1041781,sg:journal.1358819,sg:journal.1052783,sg:journal.1327888,sg:journal.1053677,sg:journal.1136472,sg:journal.1047630,sg:journal.1136552,sg:journal.1136275,sg:journal.1142245,sg:journal.1136632,sg:journal.1036186,sg:journal.1136126,sg:journal.1136629,sg:journal.1136784,sg:journal.1136853,sg:journal.1136098,sg:journal.1136417,sg:journal.1052314,sg:journal.1124111,sg:journal.1043660,sg:journal.1036683,sg:journal.1136787,sg:journal.1136214,sg:journal.1120885,sg:journal.1136849,sg:journal.1136245,sg:journal.1136157,sg:journal.1136493,sg:journal.1136820,sg:journal.1136337,sg:journal.1336253,sg:journal.1313824,sg:journal.1135920,sg:journal.1047753,sg:journal.1136315,sg:journal.1319375,sg:journal.1136064,sg:journal.1028030,sg:journal.1135862,sg:journal.1136676,sg:journal.1048429,sg:journal.1136804,sg:journal.1136713,sg:journal.1136016,sg:journal.1041650,sg:journal.1136403,sg:journal.1135855,sg:journal.1136266,sg:journal.1136358,sg:journal.1136750,sg:journal.1223581,sg:journal.1135865,sg:journal.1048971,sg:journal.1052742,sg:journal.1135984,sg:journal.1381414,sg:journal.1050467,sg:journal.1050238,sg:journal.1136154,sg:journal.1050408,sg:journal.1297403,sg:journal.1136408,sg:journal.1136062,sg:journal.1136843,sg:journal.1053706,sg:journal.1136555,sg:journal.1290435,sg:journal.1136695,sg:journal.1372021,sg:journal.1136419,sg:journal.1135910,sg:journal.1136433,sg:journal.1136342,sg:journal.1136673,sg:journal.1052174,sg:journal.1136186,sg:journal.1135916,sg:journal.1047644,sg:journal.1130475,sg:journal.1147559,sg:journal.1136823,sg:journal.1295207,sg:journal.1136107,sg:journal.1135981,sg:journal.1136252,sg:journal.1136704,sg:journal.1135904,sg:journal.1136700,sg:journal.1136287,sg:journal.1017907,sg:journal.1053886,sg:journal.1052613,sg:journal.1041785,sg:journal.1018370,sg:journal.1053156,sg:journal.1044151,sg:journal.1136068,sg:journal.1136573,sg:journal.1042206,sg:journal.1053187,sg:journal.1051009,sg:journal.1135872,sg:journal.1136734,sg:journal.1043955,sg:journal.1034717,sg:journal.1018957,sg:journal.1053185,sg:journal.1136174,sg:journal.1045108,sg:journal.1158525,sg:journal.1135877,sg:journal.1295492,sg:journal.1030472,sg:journal.1042000,sg:journal.1053027,sg:journal.1052999,sg:journal.1031408,sg:journal.1135974,sg:journal.1053144,sg:journal.1134510,sg:journal.1358295,sg:journal.1042867,sg:journal.1285194,sg:journal.1313384,sg:journal.1129956,sg:journal.1297324,sg:journal.1136247,sg:journal.1136357,sg:journal.1136639,sg:journal.1050630,sg:journal.1295107,sg:journal.1136278,sg:journal.1048269,sg:journal.1051928,sg:journal.1043282,sg:journal.1136340,sg:journal.1039818,sg:journal.1052480,sg:journal.1039987,sg:journal.1136033,sg:journal.1135881,sg:journal.1135992,sg:journal.1031135,sg:journal.1135991,sg:journal.1041814,sg:journal.1136536,sg:journal.1136796,sg:journal.1136025,sg:journal.1136311,sg:journal.1372018,sg:journal.1136191,sg:journal.1358321,sg:journal.1030474,sg:journal.1050641,sg:journal.1358980,sg:journal.1358305,sg:journal.1273569,sg:journal.1399793,sg:journal.1358273,sg:journal.1041963,sg:journal.1136537,sg:journal.1327447,sg:journal.1136355,sg:journal.1136108,sg:journal.1028302,sg:journal.1136483,sg:journal.1136744,sg:journal.1135898,sg:journal.1313805,sg:journal.1053341,sg:journal.1300243
sg:journal.1136220,8,0,0,0,0,0,1,0,0,0,0,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,7,0,0,0,1,5,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,11,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sg:journal.1136216,7,1178,13,27,6,0,93,3,18,0,9,248,3,22,1,2,7,19,3,1,2,1,34,1,8,4,2,0,15,0,275,0,0,0,2,2,14,0,43,55,1,0,4,27,0,6,1,81,0,7,4,3,2,0,1,1,1,1,0,28,9,11,40,0,0,1,2,0,2,8,10,3,13,1,5,0,0,0,0,0,1,1,0,2,0,1,0,22,1,0,1,0,1,4,16,4,4,0,1,10,1,15,0,3,3,0,4,0,1,2,0,0,0,0,0,47,9,3,0,0,0,2,0,0,22,4,12,0,17,8,0,0,0,0,1,14,0,11,1,3,11,7,2,1,0,3,2,4,1,0,1,0,0,1,0,7,0,1,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,5,0,0,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sg:journal.1297335,0,4,16,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sg:journal.1052061,0,5,8,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sg:journal.1136368,0,1,0,0,10,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sg:journal.1081642,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sg:journal.1047617,1,76,0,1,8,1,197,0,1,0,2,2,0,5,0,0,5,18,0,0,3,0,0,6,0,6,7,0,1,2,0,0,2,0,0,0,0,0,7,1,2,1,9,3,0,14,0,11,0,0,0,2,2,0,0,0,0,0,0,4,0,0,60,0,1,0,0,0,1,1,0,0,0,1,14,0,0,0,0,0,0,3,0,2,0,0,0,3,0,0,0,1,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,17,10,0,1,0,0,1,0,0,1,0,26,0,0,7,0,0,0,0,0,14,0,2,0,2,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sg:journal.1026076,0,0,0,0,0,1,0,51,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sg:journal.1136023,0,24,0,0,0,0,4,0,16,0,2,0,0,0,1,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,17,7,1,0,2,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,9,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,10,0,0,0,0,0,0,0,1,0,2,0,0,0,9,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sg:journal.1023786,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
